,,1.000
C1064129,"CLENS GEKO CBGEKO14",2.000
C1064138,"CEAS GARMIN QUATIX 5-ALBASTRU 124014",1.000
C1064145,"CLENS JERRY CBG122",38.000
C1065315,"CT150 SQR OPS STICK 52 FLEX 40 P92 LEFT H12518,52,040,L92",10.000
C1065316,"CT150 SQR OPS STICK 52 FLEX 40 P92 RIGHT H12518,52,040,R92",10.000
C1065462,"CUREA SILICON CEAS GARMIN 117694",1.000
C1066176,"CLENS BIONIC 1340D003S",1.000
C1066331,"CLIMBING SKIN (MY) TRANSALP 82 K02218 155",1.000
C1066332,"CLIMBING SKIN (MY) TRANSALP 82 K02218 162",4.000
C1066333,"CLIMBING SKIN (MY) TRANSALP 82 K02218 169",2.000
C1066334,"CLIMBING SKIN (MY) TRANSALP 82 K02218 176",3.000
C1066469,"CARBON AIR FRAME25D 6479-10 XS",2.000
C1067233,"CANOPY FOR SPA  SIZE 180CM",1.000
C1067340,"CAMELBAK CHARCOAL 1.5L 1514001015",13.000
C1067515,"CBAK REIGN CAPS",13.000
C1067555,"CLENS SUPER BIONIC CBG77",1.000
C1067740,"CSUN CBCRICK2",1.000
C1067744,"C-SUN CBCRICK1",1.000
C1067782,"CAMELBAK EDDY+ 32OZ NAVY 1650401001",1.000
C1067783,"CAMELBAK EDDY+ 32OZ WHITE 1650101001",2.000
C1067784,"CAMELBAK EDDY+ 20OZ DUSTY LAVENDER 1649501060",1.000
C1067785,"CAMELBAK EDDY+ 20OZ YELLOW 1649701060",1.000
C1067786,"CAMELBAK EDDY+ 20OZ BRUSHWORK 1649002060",1.000
C1067787,"CAMELBAK EDDY+ 20OZ JET 1649001060",1.000
C1067826,"CAMELBAK EDDY+ 0.75L CARDINAL 1643601075",1.000
C1067831,"CAMELBAK EDDY+ 0.75L LAVENDER 1643501075",1.000
C1067834,"CAMELBAK EDDY+ 0.6L INSULATED 1646501060",2.000
C1067835,"CAMELBAK EDDY+ 0.6L INSULATED 1646401060",1.000
C1067839,"CAMELBAK EDDY+ 0.6L FLORAL 1642901060",1.000
C1067840,"CAMELBAK EDDY+ 0.75L BLUE 1643402075",1.000
C1067841,"CAMELBAK EDDY+ 0.75L SPECTRA 1643301075",1.000
C1067842,"CAMELBAK EDDY+ 0.75L OXFORD 1643401075",1.000
C1067847,"CAMELBAK EDDY+ 0.6L 1642102060",1.000
C1067849,"CAMELBAK EDDY+ 0.6L BLUE 1642401060",1.000
C1067850,"CAMELBAK EDDY+ 32OZ YELL 1650701001",1.000
C1067851,"CAMELBAK EDDY+ 32OZ JET 1650001001",1.000
C1067852,"CAMELBAK EDDY+ 20OZ WHITE 1649101060",1.000
C1067853,"CAMELBAK EDDY+ 20OZ NAVY 1649401060",0.000
C1067854,"CAMELBAK EDDY+ 20OZ WAVE 1649102060",1.000
C1067868,"CAMELBAK CHUTE MAG 0.6L CLEAR 1510101060",1.000
C1067871,"CAMELBAK EDDY+ 0.6L INSULATED 1646601060",1.000
C1067875,"CAMELBAK EDDY+ 1L CHARCOAL 1644001001",1.000
C1067877,"CAMELBAK EDDY+ 0.6L 1642002060",2.000
C1067878,"CAMELBAK EDDY+ 0.6L SPECTRA 1642301060",1.000
C1067884,"CAMELBAK EDDY+ 0.6L CHARCOAL 1642001060",1.000
C1067885,"CAMELBAK EDDY+ 0.6L 1642403060",1.000
C1067886,"CAMELBAK EDDY+ 0.6L OXFORD 1642402060",1.000
C1067889,"CAMELBAK PODIUM CHILL 21OZ TEAL 1874301062",1.000
C1067908,"CAMELBAK PODIUM 21OZ 52427",0.000
C1067960,"CBAK SKYLINE 100OZ NAVY/GREY 1475402000",4.000
C1067961,"CBAK CHASE BIKE VEST 50OZ RED/BLUE 1477601000",20.000
C1067962,"CBAK PODIUM FLOW BELT 21OZ BLACK 1821001000",15.000
C1067963,"CBAK REPACK 50OZ NAVY/SPRING 1478401000",7.000
C1067964,"CBAK MULE 100OZ BLACK 1115001000",1.000
C1067965,"CBAK MULE 100OZ BLUE/SILVER 1115407000",0.000
C1067966,"CBAK LOBO 100OZ GREY/CHARCOAL 1118202000",8.000
C1067967,"CBAK KUDU PROTECTOR 20-DRY BLACK/OLIVE M/L 1547001083",0.000
C1067968,"CBAK KUDU PROTECTOR 10-DRY BLACK/OLIVE M/L 1548001083",3.000
C1067969,"CBAK KUDU PROTECTOR 10-DRY ORANGE/CHARCOAL S/M 1548802982",3.000
C1067970,"CBAK SOLSTICE 100OZ DRAGON TEAL/BLUE 1476403000",5.000
C1067971,"CBAK HAWG 100OZ BLACK 1822001000",4.000
C1067972,"CBAK MULE LR15 100OZ BLACK 1824001000",6.000
C1067973,"CBAK MULE LR15 100OZ SHADOW GREY/BLACK 1824201000",4.000
C1067974,"CBAK SKYLINE 100OZ BLACK 1475001000",3.000
C1067975,"CAMELBAK EDDY+ 32OZ JET 1650001001",9.000
C1067978,"CAMELBAK CHUTE MAG JET 20OZ 1515001060",8.000
C1067979,"CAMELBAK CHUTE MAG 20OZ CARDINAL 1515601060",12.000
C1067980,"CAMELBAK EDDY+ 32OZ NAVY 1650401001",9.000
C1067981,"CAMELBAK EDDY+ 32OZ YELL 1650701001",9.000
C1067982,"CAMELBAK EDDY+ 32OZ WHITE 1650101001",8.000
C1067983,"CAMELBAK EDDY+ 20OZ JET 1649001060",8.000
C1067984,"CAMELBAK EDDY+ 20OZ NAVY 1649401060",17.000
C1067985,"CAMELBAK EDDY+ 20OZ YELL 1649701060",12.000
C1067986,"CAMELBAK EDDY+ 20OZ WAVE 1649102060",11.000
C1067987,"CAMELBAK HOT CAP 12OZ JET 1893001040",14.000
C1067988,"CAMELBAK HOT CAP 12OZ COBALT 1893401040",17.000
C1067989,"CAMELBAK HOT CAP 12OZ CARDINAL 1893601040",14.000
C1067990,"CAMELBAK HOT CAP 12OZ MOSS-FULL 1893301040",9.000
C1067991,"CBAK KUDU PROTECTOR 20-DRY DEEP FOREST/BLUE S/M 1547301982",0.000
C1067994,"CBAK MINI MULE 50OZ CAMELFLAGE 1155901000",30.000
C1067995,"CBAK SUNDOWNER 100OZ DEEP TEAL/HOT CORAL 1153402000",1.000
C1067996,"CBAK SUNDOWNER 100OZ BEET RED/PINK 1153602000",4.000
C1067998,"CBAK FRANCONIA 100OZ DARK AURA ORANGE/FIRED BRICK 1152801000",2.000
C1068000,"CBAK FOURTEENER 100OZ GALAXY BLUE/NAVY BLAZER 1482401000",1.000
C1068001,"CBAK NANO HANDHELD 17OZ GRAPHITE/BLACK 1923002000",10.000
C1068042,"CBAK CHASE PROTECTOR VEST 70OZ BLK 2187001000",0.000
C1068045,"CBAK LOBO 100OZ BLK 2247001000",1.000
C1068055,"CBAK MAGIC 70OZ BLUE 2248401000",1.000
C1068073,"CBAK SKYLINE 100OZ BLK 2188001000",1.000
C1068074,"CBAK SKYLINE 100OZ OLIVE 2188301000",1.000
C1068092,"CBAK OCTANE18 NAVY 70OZ 2206401000",1.000
C1068103,"CBAK OCTANE25 BLACK 70OZ 2205001000",1.000
C1068191,"CAMELBAK BECK VAC STAINLESS 20OZ WHT 2159101060",1.000
C1068270,"CHELM PLUMA CBH280 48-51CM",5.000
C1069825,"CLIMBING SKIN (MY) TRANSALP 82 K02218 155",3.000
C1069826,"CLIMBING SKIN (MY) TRANSALP 82 K02218 162",2.000
C1069827,"CLIMBING SKIN (MY) TRANSALP 82 K02218 169",2.000
C1071448,"CENTER TAPE STANDARD",8.000
C1071493,"CLIMBING SKIN (MY) TRANSALP 90 K02118 155",1.000
C1071494,"CLIMBING SKIN (MY) TRANSALP 90 K02118 162",1.000
C1071581,"CAMELBAK CARRY CAP VAC INS 20OZ LARKSPUR 2367401060",1.000
C1071583,"CAMELBAK CARRY CAP VAC INS 32OZ MOSS",1.000
C1071684,"CLENS BIONIC 1340D003S",2.000
C1071708,"CLENS STRACK CBMONOL1",1.000
C1071850,"CAMELBAK PODIUM CHILL 24OZ BLACK 1873001071",17.000
C1071851,"CAMELBAK PEAK FITNESS CHILL 24OZ PLUM 1877504075",23.000
C1071852,"CAMELBAK PEAK FITNESS CHILL 24OZ KOI/NAVY 1877801075",23.000
C1071853,"CAMELBAK REIGN CHILL 32OZ BLACK 1992001001",21.000
C1071854,"CAMELBAK REIGN CHILL 32OZ LIME/BLUE 1992302001",21.000
C1071855,"CAMELBAK REIGN CHILL 32OZ SILVER 1992001101",21.000
C1071856,"CAMELBAK REIGN CHILL 32OZ BLUE 1992402001",21.000
C1071857,"CAMELBAK REIGN CHILL 32OZ RED 1992601001",21.000
C1071858,"CAMELBAK REIGN 32OZ BLACK 1991001001",21.000
C1071859,"CAMELBAK REIGN 32OZ FOREST GREEN 1991301001",21.000
C1071860,"CAMELBAK REIGN 32OZ GREEN/BLUE 1991302001",21.000
C1071861,"CAMELBAK PODIUM CHILL 24OZ WHITE/BLACK 1873101071",23.000
C1071862,"CAMELBAK REIGN 32OZ NAVY BLUE 1991401001",21.000
C1071863,"CAMELBAK REIGN 32OZ BLUE 1991402001",21.000
C1071864,"CAMELBAK REIGN 32OZ RED 1991601001",21.000
C1071865,"CAMELBAK REIGN 32OZ ORANGE 1991801001",21.000
C1071866,"CAMELBAK PIVOT BOTTLE 1L CLOUD 2313001001",23.000
C1071867,"CAMELBAK PIVOT BOTTLE 1L ICE 2313401001",23.000
C1071868,"CAMELBAK PIVOT BOTTLE 1L LEAF 2313301001",23.000
C1071869,"CAMELBAK PIVOT BOTTLE 0.75 CLOUD 2312001075",23.000
C1071870,"CAMELBAK PIVOT BOTTLE 0.75 ICE 2312401075",23.000
C1071871,"CAMELBAK PIVOT BOTTLE 0.75 LEAF 2312301075",23.000
C1071872,"CAMELBAK PODIUM CHILL 24OZ BLUE 1873402071",21.000
C1071873,"CAMELBAK EDDY+ 32OZ CHARCOAL 1644001001",22.000
C1071874,"CAMELBAK EDDY+ 32OZ OXFORD 1644401001",23.000
C1071875,"CAMELBAK EDDY+ 32OZ TRUE BLUE 1644402001",23.000
C1071876,"CAMELBAK EDDY+ 32OZ MAGENTA 1644601001",23.000
C1071877,"CAMELBAK EDDY+ 25OZ CHARCOAL 1643001075",19.000
C1071878,"CAMELBAK EDDY+ 25OZ OXFORD 1643401075",22.000
C1071879,"CAMELBAK EDDY+ 25OZ TRUE BLUE 1643402075",23.000
C1071880,"CAMELBAK EDDY+ 25OZ SPECTRA 1643301075",23.000
C1071881,"CAMELBAK EDDY+ 25OZ HUNTER 1643302075",23.000
C1071882,"CAMELBAK EDDY+ 25OZ LAVENDER 1643501075",22.000
C1071883,"CAMELBAK PODIUM CHILL 24OZ RED/WHITE 1873605071",23.000
C1071884,"CAMELBAK EDDY+ 25OZ MAGENTA 1643602075",22.000
C1071885,"CAMELBAK EDDY+ 25OZ CARDINAL 1643601075",23.000
C1071886,"CAMELBAK EDDY+ 25OZ LAVA 1643801075",23.000
C1071887,"CAMELBAK EDDY+ 25OZ YELLOW 1643701075",23.000
C1071888,"CAMELBAK EDDY+ 25OZ CLEAR 1643101075",22.000
C1071889,"CAMELBAK EDDY+ KIDS 14OZ HIP DINOS 2282301040",13.000
C1071890,"CAMELBAK EDDY+ KIDS 14OZ SKATE MONSTERS 2282402040",17.000
C1071891,"CAMELBAK EDDY+ KIDS 14OZ LETS EXPLORE 2282103040",17.000
C1071892,"CAMELBAK EDDY+ KIDS 14OZ DOODLE SPORT 2282403040",22.000
C1071893,"CAMELBAK EDDY+ KIDS 14OZ UNICORN PARTY 2282501040",10.000
C1071894,"CAMELBAK PODIUM CHILL 24OZ NAVY 1873404071",21.000
C1071895,"CAMELBAK EDDY+ KIDS 14OZ BUTTERFLIES 2282102040",22.000
C1071896,"CAMELBAK EDDY+ KIDS INS 14OZ SHARKS 2283401040",18.000
C1071897,"CAMELBAK EDDY+ KIDS INS 14OZ ADVENTURE MAP 2283101040",23.000
C1071898,"CAMELBAK EDDY+ KIDS INS 14OZ FLOWER POWER 2283601040",22.000
C1071899,"CAMELBAK EDDY+ KIDS 14OZ TRUE BLUE 2282401040",22.000
C1071900,"CAMELBAK EDDY+ KIDS 14OZ GRAPEFRUIT 2282601040",23.000
C1071901,"CAMELBAK EDDY+ KIDS 14OZ CLEAR 2282101040",23.000
C1071902,"CAMELBAK EDDY+ KIDS 14OZ 2-PACK BLUE 2286902040",7.000
C1071903,"CAMELBAK EDDY+ KIDS 14OZ 2-PACK GRAPE/LAVEND 2286901040",7.000
C1071904,"CAMELBAK CHUTE MAG 32OZ CHARCOAL 1513001001",15.000
C1071905,"CAMELBAK PODIUM CHILL 24OZ BURGUNDAY 1873503071",23.000
C1071906,"CAMELBAK CHUTE MAG 32OZ OXFORD 1513404001",15.000
C1071907,"CAMELBAK CHUTE MAG 32OZ OLIVE 1513301001",14.000
C1071908,"CAMELBAK CHUTE MAG 32OZ CARDINAL 1513601001",14.000
C1071909,"CAMELBAK CHUTE MAG 32OZ LAVA 1513801001",19.000
C1071910,"CAMELBAK CHUTE MAG 32OZ CLEAR 1513101001",23.000
C1071911,"CAMELBAK CHUTE MAG 14OZ SEA LIONS 2288401040",18.000
C1071912,"CAMELBAK CHUTE MAG 14OZ ZEBRAS 2288501040",17.000
C1071913,"CAMELBAK PEAK FITNESS CHILL 24OZ BLACK/LIME 1900001075",20.000
C1071914,"CAMELBAK PEAK FITNESS CHILL 24OZ BLACK/SILVER 1877001075",23.000
C1071915,"CAMELBAK PEAK FITNESS CHILL 24OZ WHITE/SILVER 1877101075",23.000
C1071916,"CAMELBAK CARRY CAP SST VAC INS 64OZ BLACK 2369001019",5.000
C1071917,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ RAINBOW 2284104040",20.000
C1071918,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ BARE STEEL 2284105040",23.000
C1071919,"CAMELBAK EDDY+ KIDS SST 14OZ CARS&TRUCKS 2305101040",13.000
C1071920,"CAMELBAK EDDY+ KIDS SST 14OZ DINO BONES 2305102040",12.000
C1071921,"CAMELBAK EDDY+ KIDS SST 14OZ UNICORN&BLOOMS 2305104040",13.000
C1071922,"CAMELBAK EDDY+ KIDS SST 14OZ CATS&DOGS 2305103040",13.000
C1071923,"CAMELBAK EDDY+ KIDS SST 14OZ BARE STEEL 2305105040",13.000
C1071924,"CAMELBAK CHUTE MAG SST VAC INS 32OZ BLACK 1516004001",6.000
C1071925,"CAMELBAK CHUTE MAG SST VAC INS 32OZ NAVY 1516402001",7.000
C1071926,"CAMELBAK CHUTE MAG SST VAC INS 32OZ LARKSPUR 1516403001",3.000
C1071927,"CAMELBAK CARRY CAP SST VAC INS 64OZ LARKSPUR 2369401019",4.000
C1071928,"CAMELBAK CHUTE MAG SST VAC INS 32OZ KOI 1516802001",3.000
C1071929,"CAMELBAK CARRY CAP SST VAC INS 64OZ MOSS 2369301019",4.000
C1071930,"CAMELBAK CARRY CAP SST VAC INS 32OZ BLACK 2368001001",7.000
C1071931,"CAMELBAK CARRY CAP SST VAC INS 32OZ LARKSPUR 2368401001",7.000
C1071932,"CAMELBAK CARRY CAP SST VAC INS 32OZ TERRACOTTA 2368601001",8.000
C1071933,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ FOXES 2284101040",19.000
C1071934,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ UFO 2284102040",21.000
C1071935,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ FLOWERCHILD 2284103040",23.000
C1072033,"C-MO069 MSPA CONCEPT MONO BUBBLE SPA (6 PERS)",7.000
C1072316,"CHELM ATHMOSPHERE 52-55 CBH1",0.000
C1072317,"CHELM ATHMOSPHERE 55-58 CBH8",1.000
C1072318,"CHELM ATMOSPHERE CBH24 58-62",1.000
C1072320,"CHELM CONTEST VIS 117025558",1.000
C1072322,"CHELM CONTEST VISOR CBH101 62-64",1.000
C1072323,"CHELM DUSK CBH153 55-58",1.000
C1072325,"CHELM PLUMA JR 1119AN52",1.000
C1072326,"CHELM TRILOGY 58-62 1310WG5862",1.000
C1072327,"CONTEST VISOR PRO PURPLE 62-64 CBH44",1.000
C1072330,"CHELM DUSK CBH32 55-58",0.000
C1072508,"CHEVRE JKT 040-0171-L52F M",5.000
C1072509,"CHEVRE JKT 040-0171-L52F M",1.000
C1072535,"CHEVRE JKT 040-0171-L39F M",1.000
C1072540,"CHEVRE JKT 040-0171-L39F S",1.000
C1072614,"CRUIS JKT OBERHOF W/B 82312 38",1.000
C1072615,"CRUISING JACKET WO 38 G21411",1.000
C1072665,"CLENS ANGKOR CBANGK4",1.000
C1072666,"CLENS CHANGPA CBCHAN1",1.000
C1072667,"CLENS CHANGPA CBCHAN6",1.000
C1072668,"CLENS CHICAGO CBCHIC1",1.000
C1072669,"CLENS DUDE CBDUDE3",1.000
C1072670,"CLENS DUDE CBDUDE6",1.000
C1072671,"CLENS EMPIRE CBEMP2",1.000
C1072672,"CLENS HACKER CBHACK5",1.000
C1072673,"CLENS IDYLL CBIDYL5",1.000
C1072674,"CLENS LAM CBLAM2",1.000
C1072675,"CLENS LAM CBLAM6",1.000
C1072676,"CLENS MAIAMI CBMIA1",1.000
C1072677,"CLENS MAORI CBMAO5",1.000
C1072678,"CLENS PROGUIDE CBPROG7",1.000
C1072679,"CLENS SBREAKE CBSBRK2",1.000
C1072680,"CLENS SCAPE CBSCAP2S",1.000
C1072681,"CLENS SCARP CBSCARP2",1.000
C1072682,"CLENS SESSION CBSES3",1.000
C1072683,"CLENS SESSION CBSES4",1.000
C1072684,"CLENS SESSION CBSES5",1.000
C1072685,"CLENS WHISPER CBWHISP6",1.000
C1072795,"CLENS CHOUKA CBCHOU9",1.000
C1072797,"CLENS KOALA CBKOA12",1.000
C1072810,"CBAK ARETE 18 50OZ BLK/GREY 1110001000",1.000
C1072811,"CBAK CHASE BIKE VEST 50OZ RED/BLUE 1477601000",2.000
C1072812,"CBAK HYDROBAK 50OZ LIME/SILVER 1122301000",2.000
C1072813,"CBAK KUDU PROTECTOR 10-DRY BLACK/OLIVE M/L 1548001083",1.000
C1072814,"CBAK KUDU PROTECTOR 10-DRY ORANGE/CHARCOAL S/M 1548802982",1.000
C1072815,"CBAK LOBO 100OZ GREY/CHARCOAL 1118202000",0.000
C1072816,"CBAK MINI MULE 50OZ CAMELFLAGE 1155901000",2.000
C1072817,"CBAK MULE LR15 100OZ BLACK 1824001000",2.000
C1072818,"CBAK MULE LR15 100OZ SHADOW GREY/BLACK 1824201000",2.000
C1072819,"CBAK PODIUM FLOW BELT 21OZ BLACK 1821001000",2.000
C1072820,"CBAK REPACK 50OZ NAVY/SPRING 1478401000",2.000
C1072821,"CBAK SKYLINE 100OZ BLACK 1475001000",1.000
C1072822,"CBAK SKYLINE 100OZ NAVY/GREY 1475402000",2.000
C1072823,"CBAK SOLSTICE 100OZ GUNMETAL/BLUE 2189002000",1.000
C1072828,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ UFO 2284102040",6.000
C1072829,"CAMELBAK LIME 0.6L 1510301060",3.000
C1072830,"CAMELBAK PEAK FITNESS CHILL 24OZ BLACK/LIME 1900001075",6.000
C1072831,"CAMELBAK PEAK FITNESS CHILL 24OZ BLACK/SILVER 1877001075",6.000
C1072832,"CAMELBAK PEAK FITNESS CHILL 24OZ KOI/NAVY 1877801075",6.000
C1072833,"CAMELBAK PEAK FITNESS CHILL 24OZ PLUM 1877504075",6.000
C1072834,"CAMELBAK PIVOT BOTTLE 0.75 CLOUD 2312001075",6.000
C1072835,"CAMELBAK PIVOT BOTTLE 0.75 LEAF 2312301075",6.000
C1072836,"CAMELBAK PIVOT BOTTLE 1L CLOUD 2313001001",6.000
C1072837,"CAMELBAK PIVOT BOTTLE 1L ICE 2313401001",6.000
C1072838,"CAMELBAK PIVOT BOTTLE 1L LEAF 2313301001",6.000
C1072839,"CAMELBAK PODIUM CHILL 24OZ BLUE 1873402071",5.000
C1072840,"CAMELBAK PODIUM CHILL 24OZ BURGUNDAY 1873503071",6.000
C1072841,"CAMELBAK PODIUM CHILL 24OZ NAVY 1873404071",6.000
C1072842,"CAMELBAK PODIUM CHILL 24OZ RED/WHITE 1873605071",6.000
C1072843,"CAMELBAK PODIUM CHILL 24OZ WHITE/BLACK 1873101071",6.000
C1072844,"CAMELBAK REIGN 32OZ BLACK 1991001001",4.000
C1072845,"CAMELBAK REIGN 32OZ BLUE 1991402001",4.000
C1072846,"CAMELBAK REIGN 32OZ FOREST GREEN 1991301001",4.000
C1072847,"CAMELBAK REIGN 32OZ ORANGE 1991801001",4.000
C1072848,"CAMELBAK REIGN 32OZ RED 1991601001",4.000
C1072849,"CAMELBAK REIGN CHILL 32OZ BLACK 1992001001",4.000
C1072850,"CAMELBAK REIGN CHILL 32OZ BLUE 1992402001",4.000
C1072851,"CAMELBAK REIGN CHILL 32OZ LIME/BLUE 1992302001",4.000
C1072852,"CAMELBAK REIGN CHILL 32OZ RED 1992601001",4.000
C1072853,"CAMELBAK CHUTE MAG 32OZ CARDINAL 1513601001",6.000
C1072854,"CAMELBAK CHUTE MAG 32OZ CHARCOAL 1513001001",6.000
C1072855,"CAMELBAK CHUTE MAG 32OZ CLEAR 1513101001",6.000
C1072856,"CAMELBAK CHUTE MAG 32OZ OXFORD 1513404001",6.000
C1072857,"CAMELBAK EDDY+ 25OZ YELLOW 1643701075",6.000
C1072858,"CAMELBAK EDDY+ KIDS 14OZ 2-PACK GRAPE/LAVEND 2286901040",2.000
C1072859,"CAMELBAK EDDY+ KIDS 14OZ HIP DINOS 2282301040",6.000
C1072860,"CAMELBAK EDDY+ KIDS 14OZ SKATE MONSTERS 2282402040",6.000
C1072861,"CAMELBAK EDDY+ KIDS 14OZ TRUE BLUE 2282401040",6.000
C1072862,"CAMELBAK EDDY+ KIDS INS 14OZ ADVENTURE MAP 2283101040",6.000
C1072863,"CAMELBAK EDDY+ KIDS SST 14OZ DINO BONES 2305102040",4.000
C1072864,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ FLOWERCHILD 2284103040",6.000
C1072865,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ FOXES 2284101040",6.000
C1072866,"CAMELBAK PEAK FITNESS CHILL 24OZ WHITE/SILVER 1877101075",6.000
C1072867,"CAMELBAK PIVOT BOTTLE 0.75 ICE 2312401075",6.000
C1072868,"CAMELBAK PODIUM CHILL 24OZ BLACK 1873001071",6.000
C1072869,"CAMELBAK REIGN 32OZ GREEN/BLUE 1991302001",4.000
C1072870,"CAMELBAK REIGN 32OZ NAVY BLUE 1991401001",4.000
C1072871,"CAMELBAK REIGN CHILL 32OZ SILVER 1992001101",4.000
C1072872,"CAMELBAK BLUEGRASS 0.75L 1512401075",6.000
C1072873,"CAMELBAK CARRY CAP SST VAC INS 32OZ BLACK 2368001001",2.000
C1072874,"CAMELBAK CARRY CAP SST VAC INS 32OZ LARKSPUR 2368401001",2.000
C1072875,"CAMELBAK CARRY CAP SST VAC INS 32OZ TERRACOTTA 2368601001",2.000
C1072876,"CAMELBAK CARRY CAP SST VAC INS 64OZ LARKSPUR 2369401019",1.000
C1072877,"CAMELBAK CARRY CAP SST VAC INS 64OZ MOSS 2369301019",1.000
C1072878,"CAMELBAK CARRY CAP VAC INS 64OZ BLACK 2369001019",1.000
C1072879,"CAMELBAK CHARCOAL 0.75L 1512001075",6.000
C1072880,"CAMELBAK CHARCOAL 1.5L 1514001015",6.000
C1072881,"CAMELBAK CHUTE MAG 14OZ SEA LIONS 2288401040",6.000
C1072882,"CAMELBAK CHUTE MAG 14OZ ZEBRAS 2288501040",6.000
C1072883,"CAMELBAK CHUTE MAG 32OZ LAVA 1513801001",5.000
C1072884,"CAMELBAK CHUTE MAG 32OZ OLIVE 1513301001",6.000
C1072885,"CAMELBAK CHUTE MAG SST VAC INS 32OZ BLACK 1516004001",2.000
C1072886,"CAMELBAK CHUTE MAG SST VAC INS 32OZ KOI 1516802001",2.000
C1072887,"CAMELBAK CHUTE MAG SST VAC INS 32OZ LARKSPUR 1516403001",1.000
C1072888,"CAMELBAK CHUTE MAG SST VAC INS 32OZ NAVY 1516402001",2.000
C1072889,"CAMELBAK DRAGONFRUIT 0.6L 1510601060",6.000
C1072890,"CAMELBAK EDDY+ 20OZ JET 1649001060",4.000
C1072891,"CAMELBAK EDDY+ 20OZ NAVY 1649401060",1.000
C1072892,"CAMELBAK EDDY+ 20OZ WAVE 1649102060",1.000
C1072893,"CAMELBAK EDDY+ 20OZ YELL 1649701060",4.000
C1072894,"CAMELBAK EDDY+ 25OZ CARDINAL 1643601075",6.000
C1072895,"CAMELBAK EDDY+ 25OZ CHARCOAL 1643001075",6.000
C1072896,"CAMELBAK EDDY+ 25OZ CLEAR 1643101075",6.000
C1072897,"CAMELBAK EDDY+ 25OZ HUNTER 1643302075",6.000
C1072898,"CAMELBAK EDDY+ 25OZ LAVA 1643801075",6.000
C1072899,"CAMELBAK EDDY+ 25OZ LAVENDER 1643501075",6.000
C1072900,"CAMELBAK EDDY+ 25OZ MAGENTA 1643602075",6.000
C1072901,"CAMELBAK EDDY+ 25OZ OXFORD 1643401075",6.000
C1072902,"CAMELBAK EDDY+ 25OZ SPECTRA 1643301075",6.000
C1072903,"CAMELBAK EDDY+ 25OZ TRUE BLUE 1643402075",6.000
C1072904,"CAMELBAK EDDY+ 32OZ CHARCOAL 1644001001",6.000
C1072905,"CAMELBAK EDDY+ 32OZ MAGENTA 1644601001",6.000
C1072906,"CAMELBAK EDDY+ 32OZ OXFORD 1644401001",6.000
C1072907,"CAMELBAK EDDY+ 32OZ TRUE BLUE 1644402001",6.000
C1072908,"CAMELBAK EDDY+ KIDS 14OZ 2-PACK BLUE 2286902040",2.000
C1072909,"CAMELBAK EDDY+ KIDS 14OZ CLEAR 2282101040",6.000
C1072910,"CAMELBAK EDDY+ KIDS 14OZ DOODLE SPORT 2282403040",6.000
C1072911,"CAMELBAK EDDY+ KIDS 14OZ LETS EXPLORE 2282103040",6.000
C1072912,"CAMELBAK EDDY+ KIDS 14OZ UNICORN PARTY 2282501040",6.000
C1072913,"CAMELBAK EDDY+ KIDS INS 14OZ FLOWER POWER 2283601040",6.000
C1072914,"CAMELBAK EDDY+ KIDS INS 14OZ SHARKS 2283401040",6.000
C1072915,"CAMELBAK EDDY+ KIDS SST 14OZ BARE STEEL 2305105040",4.000
C1072916,"CAMELBAK EDDY+ KIDS SST 14OZ CARS&TRUCKS 2305101040",3.000
C1072917,"CAMELBAK EDDY+ KIDS SST 14OZ CATS&DOGS 2305103040",4.000
C1072918,"CAMELBAK EDDY+ KIDS SST 14OZ UNICORN&BLOOMS 2305104040",4.000
C1072919,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ BARE STEEL 2284105040",6.000
C1072920,"CAMELBAK EDDY+ KIDS SST VAC INS 12OZ RAINBOW 2284104040",6.000
C1072921,"CAMELBAK EDDY+ KIDS 14OZ GRAPEFRUIT 2282601040",6.000
C1072922,"CBAK NANO HANDHELD 17OZ GRAPHITE/BLACK 1923002000",8.000
C1072953,"CARBON AIR FRAME25D 6508-10 M",1.000
C1073293,"CHINGUARD G40117",1.000
C1073294,"CLENS PURSUIT CBPURS2",1.000
C1074474,"COFFEE MUG W90920",15.000
C1075026,"COFFEE MUG W90920",5.000
C1075039,"CLIMBING SKIN (MY) TRANSALP 82 K02218 169",1.000
C1075040,"CLIMBING SKIN (MY) TRANSALP 90 K02118 162",1.000
C1075122,"CLENS CRUX M 1561B789M",1.000
C1075133,"CHELM DUSK 58-62 CBH33",0.000
C1075278,"CHELM DUSK CBH33 58-62",1.000
C1075280,"CHELM CONTEST CBH177 62-64CM",1.000
C1075281,"CHELM CONTEST CBH180 62-64CM",1.000
C1075453,"CAP TWILL LOGO G36320 BLACK",0.000
C1076056,"CAP CI CLASSIC G36220 GREY",0.000
